time_of_the_match,match_meta,match_event,team_1,team_2,URL
20:00,bo3,REPUBLEAGUE TIPOS Season 2,LDLC,K23,https://www.hltv.org/matches/2352332/ldlc-vs-k23-republeague-tipos-season-2
21:30,bo3,V4 Future Sports Festival 2021 International Cup,Sinners,Wisla Krakow,https://www.hltv.org/matches/2352530/sinners-vs-wisla-krakow-v4-future-sports-festival-2021-international-cup
22:00,bo3,ESL Masters Spain Season 10,SAW,GTZ Bulls,https://www.hltv.org/matches/2352422/saw-vs-gtz-bulls-esl-masters-spain-season-10
00:00,bo3,Liga Gamers Club 2021 Serie A October Cup,DETONA,ex-Ceará,https://www.hltv.org/matches/2352547/detona-vs-ex-cear-liga-gamers-club-2021-serie-a-october-cup
