time_of_the_match,match_meta,match_event,team_1,team_2,URL
15:30,bo3,DreamHack Open November 2021,BIG,GamerLegion,https://www.hltv.org/matches/2352688/big-vs-gamerlegion-dreamhack-open-november-2021
15:30,bo3,DreamHack Open November 2021,MAD Lions,MOUZ,https://www.hltv.org/matches/2352689/mad-lions-vs-mouz-dreamhack-open-november-2021
17:00,bo3,Funspark ULTI 2021 Europe Regional Series 4 Closed Qualifier,Savage,Lynn Vision,https://www.hltv.org/matches/2352821/savage-vs-lynn-vision-funspark-ulti-2021-europe-regional-series-4-closed-qualifier
18:00,bo3,REPUBLEAGUE TIPOS Season 2,SKADE,Fiend,https://www.hltv.org/matches/2352603/skade-vs-fiend-republeague-tipos-season-2
18:45,bo3,DreamHack Open November 2021,ENCE,forZe,https://www.hltv.org/matches/2352690/ence-vs-forze-dreamhack-open-november-2021
21:00,bo3,REPUBLEAGUE TIPOS Season 2,Sinners,Entropiq,https://www.hltv.org/matches/2352604/sinners-vs-entropiq-republeague-tipos-season-2
21:00,bo3,ESEA Premier Season 39 Europe,Finest,DBL PONEY,https://www.hltv.org/matches/2352764/finest-vs-dbl-poney-esea-premier-season-39-europe
21:00,bo3,ESEA Premier Season 39 Europe,Movistar Riders,LDLC,https://www.hltv.org/matches/2352765/movistar-riders-vs-ldlc-esea-premier-season-39-europe
21:00,bo3,ESEA Premier Season 39 Europe,1WIN,Nemiga,https://www.hltv.org/matches/2352766/1win-vs-nemiga-esea-premier-season-39-europe
21:00,bo3,ESL Pro League Season 15 Conference Swiss Benelux Play-In,SHAPE,EC Brugge,https://www.hltv.org/matches/2352806/shape-vs-ec-brugge-esl-pro-league-season-15-conference-swiss-benelux-play-in
22:00,bo3,DreamHack Open November 2021,fnatic,Spirit,https://www.hltv.org/matches/2352691/fnatic-vs-spirit-dreamhack-open-november-2021
